question,predicted_paper,correct_paper,is_correct,retrieved_ids,retrieved_scores,retrieved_titles,latency_ms
How are Transformers different from RNNs?,2510.05736v1,,,"['2510.05736v1', '2510.05163v1', '2510.10729v1', '2509.23158v1', '2510.09187v1']","[0.021707214245151853, 0.009902208089666404, 0.00989608965333505, 0.004888532364415892, 0.003708691708790526]","['Convolution and Graph-based Deep Learning Approaches for Gamma/Hadron Separation in Imaging Atmospheric Cherenkov Telescopes', 'Deep Learning-Based Multi-Factor Authentication: A Survey of Biometric and Smart Card Integration Approaches', 'Sarcasm Detection Using Deep Convolutional Neural Networks: A Modular Deep Learning', 'Deep Learning-Based Detection of Cognitive Impairment from Passive Smartphone Sensing with Routine-Aware Augmentation and Demographic Personalization', 'Modern Deep Learning Approaches for Cricket Shot Classification: A Comprehensive Baseline Study']",7.156610488891602
What are the advantages and drawbacks of batch normalization compared to layer normalization?,2510.08662v1,,,"['2510.08662v1', '2510.13137v1', '2510.11073v1', '2510.09187v1', '2510.12850v1']","[0.031941074766217395, 0.022695178940052713, 0.02019974385919792, 0.02012022336268286, 0.01676523142688902]","['DPCformer: An Interpretable Deep Learning Model for Genomic Prediction in Crops', 'Real-Time Sign Language to text Translation using Deep Learning: A Comparative study of LSTM and 3D CNN', 'ROFI: A Deep Learning-Based Ophthalmic Sign-Preserving and Reversible Patient Face Anonymizer', 'Modern Deep Learning Approaches for Cricket Shot Classification: A Comprehensive Baseline Study', 'Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification']",6.692171096801758
What regularization techniques help reduce overfitting in large language models?,2510.13137v1,,,"['2510.13137v1', '2510.12850v1', '2510.10729v1', '2510.08411v1', '2509.23158v1']","[0.06987743702831206, 0.0620770872328238, 0.029209589882653257, 0.016310827759549253, 0.011071917237063869]","['Real-Time Sign Language to text Translation using Deep Learning: A Comparative study of LSTM and 3D CNN', 'Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification', 'Sarcasm Detection Using Deep Convolutional Neural Networks: A Modular Deep Learning', 'Emergent Denoising of SDSS Galaxy Spectra Through Unsupervised Deep Learning', 'Deep Learning-Based Detection of Cognitive Impairment from Passive Smartphone Sensing with Routine-Aware Augmentation and Demographic Personalization']",11.269092559814453
Which learning rate schedules are most effective when training deep learning models?,2510.12850v1,,,"['2510.12850v1', '2510.11073v1', '2510.08662v1', '2510.07320v1', '2510.13050v1']","[0.032280012765030626, 0.01813508273185837, 0.017815932468936705, 0.016339306585245936, 0.012479698239709592]","['Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification', 'ROFI: A Deep Learning-Based Ophthalmic Sign-Preserving and Reversible Patient Face Anonymizer', 'DPCformer: An Interpretable Deep Learning Model for Genomic Prediction in Crops', 'Deep Learning Based Approach to Enhanced Recognition of Emotions and Behavioral Patterns of Autistic Children', 'An Operational Deep Learning System for Satellite-Based High-Resolution Global Nowcasting']",8.257389068603516
What problems might I encounter when fine-tuning models on domain-specific data?,2510.12850v1,,,"['2510.12850v1', '2510.09187v1', '2510.07320v1', '2509.20913v1', '2510.13137v1']","[0.1160841079887565, 0.02486958779892802, 0.013120462402106719, 0.009381086607311432, 0.00938037533132497]","['Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification', 'Modern Deep Learning Approaches for Cricket Shot Classification: A Comprehensive Baseline Study', 'Deep Learning Based Approach to Enhanced Recognition of Emotions and Behavioral Patterns of Autistic Children', 'Deep Learning for Crime Forecasting: The Role of Mobility at Fine-grained Spatiotemporal Scales', 'Real-Time Sign Language to text Translation using Deep Learning: A Comparative study of LSTM and 3D CNN']",4.271984100341797
How can I assess image-text alignment in multimodal models?,2510.10729v1,,,"['2510.10729v1', '2510.11073v1', '2510.12850v1', '2510.05736v1', '2510.11301v1']","[0.0827816082582617, 0.03558909881633691, 0.029597475677927098, 0.02662140591998711, 0.023619789481931115]","['Sarcasm Detection Using Deep Convolutional Neural Networks: A Modular Deep Learning', 'ROFI: A Deep Learning-Based Ophthalmic Sign-Preserving and Reversible Patient Face Anonymizer', 'Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification', 'Convolution and Graph-based Deep Learning Approaches for Gamma/Hadron Separation in Imaging Atmospheric Cherenkov Telescopes', 'TDADL-IE: A Deep Learning-Driven Cryptographic Architecture for Medical Image Security']",7.759809494018555
What metrics should I use to evaluate text generation models?,2510.10729v1,,,"['2510.10729v1', '2510.12850v1', '2510.13137v1', '2510.14855v1', '2510.11301v1']","[0.06794429337476326, 0.0491842106362369, 0.023830147429041767, 0.015493197743324447, 0.015114471697415676]","['Sarcasm Detection Using Deep Convolutional Neural Networks: A Modular Deep Learning', 'Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification', 'Real-Time Sign Language to text Translation using Deep Learning: A Comparative study of LSTM and 3D CNN', 'A Multi-Task Deep Learning Framework for Skin Lesion Classification, ABCDE Feature Quantification, and Evolution', 'TDADL-IE: A Deep Learning-Driven Cryptographic Architecture for Medical Image Security']",6.394863128662109
How can we detect sarcasm using deep learning?,2510.10729v1,,,"['2510.10729v1', '2510.08770v1', '2510.13137v1', '2509.23158v1', '2510.09187v1']","[0.3360320987063993, 0.00784315546836697, 0.007835991651799205, 0.00531057320638544, 0.004687188294897208]","['Sarcasm Detection Using Deep Convolutional Neural Networks: A Modular Deep Learning', 'Detecting spills using thermal imaging, pretrained deep learning models, and a robotic platform', 'Real-Time Sign Language to text Translation using Deep Learning: A Comparative study of LSTM and 3D CNN', 'Deep Learning-Based Detection of Cognitive Impairment from Passive Smartphone Sensing with Routine-Aware Augmentation and Demographic Personalization', 'Modern Deep Learning Approaches for Cricket Shot Classification: A Comprehensive Baseline Study']",8.03232192993164
How can I detect or measure bias in deep learning models?,2510.10822v1,,,"['2510.10822v1', '2510.10729v1', '2510.08770v1', '2510.12850v1', '2509.23158v1']","[0.1060915497598537, 0.023251903483021197, 0.014270253342542715, 0.01400951937105247, 0.009448049500999933]","['From Detection to Mitigation: Addressing Bias in Deep Learning Models for Chest X-Ray Diagnosis', 'Sarcasm Detection Using Deep Convolutional Neural Networks: A Modular Deep Learning', 'Detecting spills using thermal imaging, pretrained deep learning models, and a robotic platform', 'Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification', 'Deep Learning-Based Detection of Cognitive Impairment from Passive Smartphone Sensing with Routine-Aware Augmentation and Demographic Personalization']",8.101224899291992
How can I reduce hallucinations in large language models?,2510.13137v1,,,"['2510.13137v1', '2510.12850v1', '2510.10729v1', '2509.23158v1', '2510.08411v1']","[0.08505426584879568, 0.04370730020684609, 0.03187121400975195, 0.01226434825350347, 0.008953217125606596]","['Real-Time Sign Language to text Translation using Deep Learning: A Comparative study of LSTM and 3D CNN', 'Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification', 'Sarcasm Detection Using Deep Convolutional Neural Networks: A Modular Deep Learning', 'Deep Learning-Based Detection of Cognitive Impairment from Passive Smartphone Sensing with Routine-Aware Augmentation and Demographic Personalization', 'Emergent Denoising of SDSS Galaxy Spectra Through Unsupervised Deep Learning']",6.671905517578125
